,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time signature,genre
72xOcA4FZZLESotNCShg73,0.578,0.0944,-17.54,0.0351,0.586,0.00803,0.0899,0.508,107.964,9,1,4,jazz
5nsQcg7E4B3vV2LZJFLnkN,0.704,0.356,-9.396,0.044,0.66,0.0,0.111,0.554,116.594,0,0,4,jazz
3lC8jAp4OCkSpq5jVuDS3m,0.446,0.684,-9.407,0.0383,0.58,6.77e-05,0.429,0.706,81.03,2,0,4,jazz
3irBxka56siaat3oKdaNdd,0.438,0.209,-9.6,0.0448,0.85,0.000595,0.144,0.339,80.386,8,1,4,jazz
5GWZZeqjfu2TpFRYoVB1kC,0.365,0.288,-13.292,0.032,0.84,0.000217,0.13,0.208,107.387,5,1,3,jazz
0P5GjHTtDT8bOill3lgQNr,0.729,0.258,-13.126,0.242,0.943,0.0268,0.103,0.64,88.65,10,0,4,jazz
2G5NIi1AgKrQY1hknwmuL7,0.593,0.254,-14.73,0.069,0.487,0.0,0.43,0.705,149.428,5,0,4,jazz
4gjmHkHbIaMFcs4Aoeib6k,0.501,0.16,-13.673,0.0469,0.794,0.0,0.113,0.344,80.996,0,1,4,jazz
0MJ1dKqO2pQyaenEJPcAmq,0.514,0.259,-11.807,0.0416,0.608,0.0,0.148,0.638,126.201,2,0,4,jazz
5O3z6CIBDdGUP9VTthA3g6,0.468,0.274,-10.804,0.0423,0.769,0.0,0.295,0.595,112.565,3,1,4,jazz
5xipiverz2FwTILpv1btob,0.624,0.06,-17.036,0.0521,0.957,0.000159,0.323,0.329,92.26,10,1,4,jazz
3agLlt9JpTB330JWO3IA5v,0.546,0.299,-14.836,0.0635,0.989,0.791,0.192,0.635,96.154,0,0,4,jazz
5cdBPBfYeRFDZWHAk4UPOH,0.572,0.287,-11.006,0.0545,0.702,9.62e-06,0.127,0.715,142.656,5,1,4,jazz
5hJFER3xZVhch296X5azBr,0.408,0.347,-12.802,0.0394,0.901,8.3e-06,0.0625,0.571,79.149,2,1,4,jazz
4pi1LNMwP0IZarJnVvlEAP,0.746,0.154,-18.233,0.138,0.879,0.0,0.137,0.505,124.494,2,0,4,jazz
5gZeO99hPC7esm5oOqIllA,0.65,0.182,-17.072,0.0573,0.838,0.0213,0.181,0.43,127.365,10,1,4,jazz
1rcqhaxOQvvSch4hTP7W2W,0.66,0.171,-12.963,0.0519,0.987,0.00119,0.111,0.568,103.623,10,1,4,jazz
3XeLKdhrqMhozx8EDmyA0Y,0.447,0.189,-18.034,0.0416,0.854,0.0,0.238,0.542,145.092,6,1,4,jazz
3u2HtcqEAjSw31LTnSjhli,0.682,0.221,-13.325,0.0374,0.992,0.668,0.117,0.586,105.779,10,1,4,jazz
3I395EcqUuXtonLJM47cAz,0.765,0.299,-11.11,0.057,0.9,0.148,0.0622,0.837,154.814,2,0,4,jazz
0ziXdcsam4ZpFEyIyO0d0S,0.638,0.486,-5.712,0.069,0.841,0.817,0.235,0.839,180.421,5,0,4,jazz
5gnX7ITQLMx6UPUTVDn8T6,0.598,0.34,-11.363,0.0383,0.862,0.843,0.27,0.636,101.685,3,1,4,jazz
7lQ7qgeHva9k9BDvCIxdIu,0.403,0.316,-15.366,0.0397,0.863,0.0249,0.116,0.292,55.07,7,1,4,jazz
1GFLRmOJW1V9NwyB77jlU4,0.583,0.215,-16.81,0.167,0.584,0.0,0.1,0.403,75.356,8,1,4,jazz
56DDmBwWTDkC03OI4LyYvw,0.627,0.153,-16.973,0.0478,0.948,0.00257,0.26,0.642,106.19,5,0,3,jazz
3dxoB9NowFxAHgYKamvIbZ,0.362,0.128,-14.498,0.0352,0.925,0.301,0.08,0.123,112.294,7,1,3,jazz
0QTB5wNRzNHeB7S8AjP2A3,0.716,0.316,-8.881,0.0429,0.88,0.00028,0.172,0.556,125.823,3,1,4,jazz
1utqxavcDJyyOBtjaI0RK9,0.566,0.342,-8.273,0.0395,0.86,0.0,0.264,0.463,102.142,4,1,4,jazz
2ZeHwwyO4hRMKYk5L1uke6,0.669,0.324,-10.443,0.0337,0.867,8.05e-05,0.106,0.437,120.221,7,1,4,jazz
53lm57HTRZOYtLlnSXNOpT,0.55,0.532,-7.989,0.16,0.67,3.86e-05,0.211,0.603,126.152,9,0,4,jazz
591YlX3IkD1gx7y1RDQfu0,0.747,0.254,-9.623,0.4,0.425,0.0,0.218,0.584,117.743,1,1,4,jazz
0QGibgogZe5Wu1D9HsdhGv,0.801,0.324,-14.326,0.125,0.285,0.0,0.0964,0.613,131.217,2,0,4,jazz
7yZT5iqi2l8iy6aJ05WkkQ,0.725,0.338,-12.211,0.0518,0.361,0.0,0.0822,0.616,107.338,3,1,4,jazz
2h0eFBUBRWBAUUZt0xKeil,0.572,0.197,-13.347,0.141,0.362,0.0,0.126,0.749,156.957,0,0,3,jazz
047Ip9c6dijAJfuwloV3NF,0.727,0.296,-7.851,0.0381,0.642,0.00195,0.0815,0.592,101.006,8,1,4,jazz
0hRMknNfEKuXns6bxYoiJk,0.649,0.199,-17.038,0.0536,0.89,0.0,0.135,0.735,116.212,8,1,4,jazz
4AwY3XKBBsUhh1ceVXG3FO,0.576,0.663,-4.016,0.0991,0.587,2.63e-06,0.129,0.838,201.089,6,0,4,jazz
4hkfBXwxJnCWRf9sDZvtkr,0.573,0.459,-8.623,0.037,0.659,1.18e-06,0.101,0.496,109.298,4,0,3,jazz
3CJAvmKV31aM1Px3bsqS4p,0.525,0.321,-11.16,0.0623,0.924,0.00312,0.679,0.551,146.598,0,0,4,jazz
5HFCC7td0yNyHrzVmR0lw9,0.401,0.537,-5.049,0.0493,0.292,1.33e-05,0.0826,0.596,108.811,8,1,4,jazz
6unm9vswK8ZqdlzyEwWz6s,0.248,0.182,-15.258,0.0471,0.898,0.0143,0.296,0.283,81.737,1,1,5,jazz
31CE06DFQCMj3HwCfS22IM,0.566,0.277,-8.901,0.0643,0.824,0.0,0.757,0.423,72.793,5,0,4,jazz
7FpiNXo1KPihSBCTjZhWH8,0.595,0.271,-11.391,0.0372,0.761,3.84e-05,0.111,0.514,78.57,0,1,4,jazz
6ps9xNXuKMgRdj32QTVS1s,0.605,0.339,-10.145,0.0324,0.855,0.0,0.254,0.491,133.046,5,0,4,jazz
3G2lWP5eg517FkJNt887cf,0.453,0.233,-13.106,0.0331,0.715,0.0,0.118,0.617,143.745,10,0,4,jazz
1siQ1NpUBZg83eFblF6YHL,0.567,0.266,-12.769,0.0406,0.463,0.0,0.105,0.602,127.615,1,1,4,jazz
5nfzTonSMJpDTwovLOcPVQ,0.571,0.256,-12.422,0.0434,0.533,0.0,0.161,0.556,123.942,9,1,4,jazz
65CofvFxkNahRhVqErW2lM,0.541,0.277,-11.31,0.0386,0.496,0.0,0.185,0.407,122.873,10,1,4,jazz
02dcUGjNp26GRrnQKXws8N,0.604,0.154,-13.8,0.0396,0.47,0.0,0.0741,0.644,129.534,8,0,4,jazz
6j69ZymD1I6lQXa70H32i8,0.495,0.373,-10.609,0.0377,0.823,0.0,0.0901,0.729,106.068,0,0,4,jazz
0c1rqMlvAP7mxakQjwAz0Y,0.469,0.123,-16.312,0.0341,0.786,1.12e-05,0.124,0.158,69.223,4,1,3,jazz
4YPYFUATiul0877A1HhSlW,0.188,0.0767,-24.695,0.037,0.85,0.000137,0.189,0.146,76.22,7,1,3,jazz
3l87t3o8ZTA1koIvvnI7oh,0.446,0.104,-14.649,0.0389,0.967,0.00173,0.107,0.144,84.521,0,1,3,jazz
0uS0HS8Y3DTVQBpK04wLaI,0.64,0.162,-10.034,0.0377,0.924,0.000338,0.136,0.39,84.885,8,1,4,jazz
76Pw1vs50LWBh84MzVWpgd,0.687,0.24,-10.475,0.0452,0.848,8.48e-05,0.0967,0.481,109.534,8,1,4,jazz
2Zd17ArOsk0A3mY1UBB4vz,0.644,0.519,-7.687,0.0325,0.86,2.58e-05,0.304,0.547,104.675,9,1,4,jazz
0I9ajKEMuHBU62EwSCPqiw,0.664,0.424,-9.191,0.28,0.763,2.74e-05,0.117,0.719,203.802,2,1,4,jazz
1T7ZI5Z9XHFeSZU0KTEVZz,0.908,0.133,-17.63,0.0934,0.811,0.0938,0.0707,0.281,118.678,2,1,4,jazz
6RKF9byLOenU0J79r1g5rm,0.635,0.239,-13.924,0.0434,0.192,0.0,0.13,0.0724,62.466,4,0,4,jazz
6VTbbVjKOC2qWagIDbkJrC,0.746,0.243,-15.134,0.123,0.829,1.02e-06,0.0905,0.425,118.578,4,0,4,jazz
6GLPIERsI3GVegT1EBBrZo,0.327,0.39,-9.094,0.0337,0.745,0.000339,0.198,0.401,177.357,6,0,3,jazz
5PtQD7DamK8FciBjRKAdDl,0.651,0.517,-5.408,0.0444,0.734,0.0,0.256,0.786,82.713,7,1,4,jazz
3Gm5EK8IEPLkA9xFQSTOGP,0.674,0.586,-6.466,0.0257,0.286,0.00445,0.317,0.795,97.923,8,1,3,jazz
2SaILZdGGdwSLN9hNJA77r,0.702,0.622,-9.513,0.038,0.345,0.00212,0.179,0.687,80.951,7,1,4,jazz
66rd5lx86Ya5dYyJXGdE1C,0.456,0.59,-4.99,0.046,0.695,0.00687,0.102,0.425,153.692,4,1,3,jazz
0o54suwt44sC3JHIXHGQCA,0.782,0.421,-9.402,0.0322,0.552,0.0015,0.153,0.408,105.021,4,0,3,jazz
2KAQMHnDLzc3jr9tlLSJIC,0.584,0.444,-11.363,0.0362,0.3,0.119,0.979,0.385,133.224,0,1,4,jazz
0Ba3d21IuCao7cwajKQ5Cm,0.726,0.539,-10.02,0.18,0.771,0.656,0.116,0.653,92.169,9,1,4,jazz
6FKasUNG1KT4r9TR9rKdll,0.892,0.191,-14.977,0.0599,0.522,0.761,0.109,0.46,106.55,5,0,4,jazz
6M7wfb504kCbEPuKXfwcau,0.736,0.219,-14.902,0.0485,0.722,0.85,0.108,0.396,110.572,9,0,4,jazz
12R5IRxaYIS2N3bBE4OOpB,0.711,0.321,-14.386,0.0545,0.256,0.0,0.237,0.394,109.734,9,0,4,jazz
0sguFXNUDV7rZ9GYB9v1r2,0.659,0.371,-12.176,0.0609,0.74,0.0,0.192,0.722,94.419,3,1,4,jazz
4tJb85eDxIIm2frcwb8PAG,0.697,0.324,-13.328,0.0401,0.715,0.000763,0.0823,0.667,96.446,3,1,4,jazz
6linBr32WmoP56Y2N26isX,0.556,0.335,-18.281,0.0565,0.777,7.2e-05,0.2,0.369,115.923,0,1,4,jazz
013grywiX7Qu6WVfnJ1opa,0.428,0.0768,-17.412,0.0413,0.774,0.0487,0.123,0.112,107.712,0,0,4,jazz
5vb7At47uO0yPGfmYnAHuw,0.494,0.182,-11.116,0.0443,0.79,0.00036,0.129,0.21,112.689,10,0,4,jazz
1tbzRQCZUoKYMCxzK0Jx5p,0.476,0.273,-17.457,0.0334,0.89,0.9,0.0978,0.164,117.779,7,0,4,jazz
4vWMrM0AwlhRlkAdQtC2zn,0.634,0.327,-9.703,0.0551,0.709,0.0131,0.158,0.498,80.825,0,0,4,jazz
7KsJkshpIjjeIwyKnkhQUc,0.147,0.215,-14.594,0.0346,0.965,0.000928,0.184,0.102,171.46,3,0,3,jazz
71KwWlZvuikRRORNH3xvCq,0.664,0.422,-11.738,0.0552,0.388,0.000107,0.0626,0.533,89.263,5,1,4,jazz
1iCAi2GzGYqCEm1t3Zpx8O,0.446,0.191,-15.854,0.0385,0.925,0.574,0.3,0.291,137.046,10,1,4,jazz
0X5DcGkbxCXSadgj01ZXd7,0.535,0.258,-9.499,0.033,0.768,8.95e-05,0.115,0.281,110.953,7,0,4,jazz
1BPmVDqR4cX9aFC0Qx0eWn,0.461,0.0546,-18.982,0.0362,0.988,0.208,0.126,0.23,128.91,0,1,4,jazz
0ADAFZE0bYIuaIyPNFl3LE,0.443,0.0711,-20.146,0.0486,0.989,0.894,0.101,0.596,175.02,1,1,4,jazz
3QxZooLdeJBAf0x405DDI7,0.621,0.0335,-21.479,0.0395,0.555,0.93,0.218,0.126,104.036,2,0,4,jazz
2kF9Ijd7I2Kk2P4bYqUmzG,0.652,0.356,-13.733,0.0419,0.546,0.000103,0.132,0.56,148.822,5,0,4,jazz
5f0n6K8hW2RIVXuZjxO0bu,0.587,0.673,-7.858,0.0509,0.744,0.00618,0.0721,0.788,123.407,10,1,4,jazz
016HKF7A4O7tatoJ9BgZM1,0.488,0.124,-13.038,0.0404,0.963,0.333,0.246,0.205,66.105,3,1,4,jazz
13hLjPatKentvawsFceF9a,0.493,0.0825,-19.02,0.0424,0.989,0.927,0.111,0.16,65.169,8,1,4,jazz
08rTZ8jNknn8VBS3v2o8pT,0.439,0.082,-17.066,0.0407,0.972,0.893,0.0913,0.492,124.69,0,1,4,jazz
1CDBaGlisZlOJzvx88lL8A,0.742,0.671,-8.142,0.0407,0.794,0.00441,0.122,0.591,127.359,5,0,4,jazz
4ol2UyMTiklHVujAWg02nE,0.488,0.0527,-27.331,0.0478,0.971,0.911,0.0882,0.193,49.689,5,1,4,jazz
0sCeNwt8xRCMR4NhKpMyBe,0.515,0.583,-8.182,0.0284,0.749,0.000294,0.123,0.414,116.11,0,0,4,jazz
0iEtT7O43pat2fu6jdaCKl,0.629,0.283,-17.384,0.0436,0.816,0.000437,0.192,0.862,104.739,0,0,4,jazz
1GhDF8jJYkDtwH4NYXsDuh,0.413,0.0552,-18.538,0.0346,0.977,0.00091,0.185,0.106,107.842,8,1,5,jazz
05aZ2boQ1yuAD4p4HyORbK,0.364,0.679,-9.923,0.0642,0.497,6.43e-06,0.217,0.45,79.9,5,0,3,jazz
3Gcpi1CwKoQtc8B3H2ZOIX,0.419,0.0284,-24.09,0.0357,0.987,0.586,0.105,0.121,71.502,0,1,4,jazz
4N6JkrGD78eLooaTDmwo9s,0.418,0.227,-15.537,0.0379,0.912,0.822,0.0956,0.21,103.586,4,0,4,jazz
6OH7UCFY7SEJxxQkaYfAv8,0.651,0.143,-22.617,0.0531,0.752,0.421,0.138,0.601,78.792,5,1,4,jazz
0DuWyzeLH09PQcnOMJiRgE,0.365,0.136,-12.42,0.0436,0.921,0.0,0.103,0.255,64.212,0,1,3,jazz
648TTtYB0bH0P8Hfy0FmkL,0.349,0.182,-13.507,0.031,0.92,0.0152,0.143,0.178,136.094,5,1,3,jazz
373yGkNo74RZgmQgTiR8xK,0.761,0.103,-16.964,0.0416,0.944,0.0,0.127,0.53,114.044,10,1,4,jazz
5eFFsShr8vchESCk8HGxvn,0.45,0.0288,-17.388,0.0467,0.994,0.895,0.118,0.358,130.838,7,1,4,jazz
21HG0QIgIcVQ2EZeXubaqL,0.631,0.261,-10.988,0.0424,0.424,6.64e-05,0.184,0.581,82.435,5,0,4,jazz
0qxiaagtTvTeNvzxHHc441,0.46,0.633,-7.153,0.0404,0.613,0.0,0.274,0.515,106.331,5,0,3,jazz
3Ysj0cl3Jlb6Ysp6um8QI7,0.665,0.359,-8.887,0.0326,0.801,0.106,0.145,0.4,111.639,1,1,4,jazz
12cMYRYTV2RTz4YTlOpgSu,0.412,0.434,-13.3,0.0483,0.509,0.00735,0.24,0.505,94.84,0,1,4,jazz
1dZHIbmuBDAwXfQOM4dyM3,0.473,0.67,-7.756,0.0353,0.446,3.15e-06,0.0957,0.808,152.484,8,1,4,jazz
1M0bEJicvT2qmdJej9wjyk,0.493,0.295,-15.536,0.0489,0.537,0.241,0.241,0.486,99.579,1,1,4,jazz
6Kr25pa3pTd4no3yA0EcW1,0.417,0.0644,-19.687,0.0359,0.971,0.000134,0.126,0.138,113.713,4,0,4,jazz
6NF8MZ2trxckVBr82pyyPt,0.544,0.425,-10.231,0.0346,0.719,0.0186,0.964,0.348,84.443,10,1,4,jazz
4qRJ7ZJyfzchEd2fjle7Bz,0.456,0.222,-16.879,0.0354,0.938,0.806,0.24,0.15,112.725,0,1,4,jazz
2EW1mFJaikQh0vxOoB7uGp,0.611,0.291,-18.392,0.0647,0.765,0.000133,0.0571,0.534,83.443,2,1,4,jazz
6RqomqKVORIwNJCKNxvc3F,0.203,0.306,-12.366,0.0344,0.952,0.000307,0.281,0.0625,76.905,10,0,4,jazz
2C3rh8eX5vltOmwrz9I78n,0.444,0.339,-16.936,0.0418,0.66,0.103,0.163,0.656,142.112,3,1,4,jazz
6MXrGG7nff0FXBQJa5UF9P,0.416,0.201,-11.461,0.0379,0.975,0.803,0.107,0.372,165.869,8,1,3,jazz
58ylMBq2yqYdHyevarkNWa,0.524,0.222,-8.967,0.0346,0.907,0.00124,0.0544,0.325,120.71,3,1,4,jazz
5eMz1VtT2zNtsyh1bDgDhb,0.564,0.305,-14.224,0.063,0.794,0.0983,0.152,0.571,115.739,10,0,4,jazz
2bOUrmH6OljKtXOLjvVEU8,0.589,0.184,-12.282,0.049,0.631,0.0,0.0819,0.343,98.365,0,1,4,jazz
34xixFi5y3I5FIOH1ZWisx,0.623,0.403,-11.121,0.0426,0.451,1.13e-05,0.448,0.631,93.911,5,0,4,jazz
5z7deaTe21B7QVPhSDouL1,0.605,0.376,-14.978,0.0322,0.253,0.207,0.117,0.948,131.927,5,1,4,jazz
0T1EaGm6b9eM7xBf4F1hlc,0.467,0.459,-9.706,0.0305,0.719,0.00312,0.0944,0.178,124.379,0,0,4,jazz
3rXJbXaRGLK1A6vPmRafRR,0.438,0.594,-10.111,0.0583,0.78,0.177,0.0751,0.589,75.926,7,0,3,jazz
4f0D7T8yswXUJ62AKLoMtS,0.616,0.434,-7.257,0.031,0.581,0.0,0.131,0.404,108.467,5,0,4,jazz
2Ob1A4itFyJWUa6fpwqAOs,0.698,0.0926,-20.716,0.05,0.861,0.49,0.0887,0.0961,81.187,2,0,4,jazz
4rrLFMxzVVwAJjmvHLPL8y,0.319,0.157,-19.728,0.0368,0.987,0.849,0.138,0.266,191.259,0,0,3,jazz
0GUUhTWMylAx5pHDI42t1V,0.543,0.133,-16.846,0.1,0.805,0.00135,0.125,0.464,171.493,7,0,4,jazz
2GIqdPK9c8npWf07kU6bqH,0.405,0.0277,-21.897,0.033,0.97,0.535,0.114,0.279,51.059,3,1,4,jazz
72PqmnVj86bfTnkFiQ9Mx9,0.517,0.0917,-18.395,0.0336,0.876,0.629,0.108,0.0836,95.068,0,1,4,jazz
6oWhUfePc5h9r5pfw7wvPN,0.704,0.277,-11.675,0.035,0.814,0.756,0.0845,0.322,90.38,0,1,4,jazz
3QuSHJUfvuOyeKMS32Wckj,0.509,0.224,-11.123,0.0327,0.736,0.301,0.327,0.17,112.355,0,1,4,jazz
2cOSF20k8VkEoXllO0PsbG,0.492,0.583,-9.927,0.19,0.673,2.38e-06,0.201,0.798,73.64,8,1,4,jazz
7kDlGHJVjuMGVZWNDlH9Ru,0.578,0.566,-8.733,0.0531,0.755,0.537,0.0987,0.83,125.03,0,1,4,jazz
0IxLWzmafWC5VTnpnvykJq,0.38,0.164,-14.69,0.0452,0.985,0.955,0.125,0.0871,79.03,7,0,4,jazz
7DUGRxCf9NFJffb5Eei8Ar,0.493,0.0421,-18.071,0.0347,0.913,0.173,0.0777,0.172,102.074,2,1,4,jazz
5UPJdlkMWG2G2UwTfGSjOe,0.215,0.247,-15.11,0.0354,0.822,7.5e-05,0.355,0.0842,86.391,9,0,3,jazz
4dUVpbIu8FW7R76gejw3cq,0.438,0.129,-15.984,0.0346,0.957,0.0459,0.0884,0.127,84.845,5,1,3,jazz
6PKCEB5JzjCizpz9hUQcpX,0.564,0.097,-16.442,0.038,0.958,0.0588,0.119,0.393,132.653,5,1,4,jazz
1czzmAtPTw287TyMQEfCfg,0.412,0.195,-10.288,0.0331,0.9,0.709,0.106,0.0778,133.918,8,1,4,jazz
3TSdkwPeUfvgLwNTF8gfC0,0.601,0.314,-16.922,0.0353,0.526,0.878,0.0937,0.316,135.712,5,0,4,jazz
5PfcpDnzz8VdUoziFWnhrU,0.54,0.327,-8.933,0.0363,0.868,0.356,0.121,0.356,96.224,2,0,4,jazz
3AJSnSiVDz37q85LP2Rop0,0.394,0.441,-14.237,0.0371,0.692,0.0375,0.105,0.629,90.058,8,1,4,jazz
489alJQIWUauqzKTMuXRjm,0.453,0.367,-16.245,0.0343,0.0708,0.00183,0.1,0.127,140.832,2,0,3,jazz
5PXIzyJURVKyO1cwVDuGEK,0.608,0.387,-20.157,0.0411,0.86,0.662,0.187,0.809,91.489,11,0,4,jazz
4ZAcQgIlpV5z7k7evEF0MJ,0.406,0.746,-7.838,0.0524,0.403,0.0816,0.305,0.59,93.056,10,1,4,jazz
0HEU3berJ5OBojU8XmEk1c,0.303,0.175,-14.203,0.0378,0.974,1.32e-06,0.105,0.25,168.743,1,0,4,jazz
2n0nSu6H5KrAYRfI6iKtwT,0.286,0.0553,-20.216,0.034,0.982,0.592,0.0989,0.182,52.789,5,0,4,jazz
5z161QQZMgQxSILnv3QoJk,0.578,0.351,-12.432,0.101,0.813,0.0,0.123,0.476,122.712,11,0,4,jazz
38xcUjiTP1ivfb7ObwjyGA,0.612,0.526,-8.558,0.0272,0.727,0.0331,0.183,0.594,129.341,0,0,4,jazz
2JITVZu8o6ls9k8SoMRy7w,0.53,0.454,-11.19,0.028,0.768,0.116,0.113,0.492,135.947,7,0,3,jazz
2BhU0Hl5OatWiCW93pE2b8,0.539,0.403,-9.168,0.0531,0.794,0.000613,0.278,0.699,165.301,8,1,4,jazz
0MfK7lsLUvMq2CURkt61uF,0.549,0.124,-13.793,0.0397,0.938,0.00175,0.126,0.32,66.184,0,0,4,jazz
6W25U2EbDixQbLbqpjz0TT,0.485,0.0735,-20.188,0.0709,0.784,0.855,0.0951,0.332,75.939,6,1,4,jazz
7gHFBNy0Qn86xGKJ9OdFTw,0.224,0.214,-14.455,0.0348,0.976,0.00094,0.367,0.14,83.906,2,0,3,jazz
2Ef24NcyyZAMngL4uQd3xC,0.488,0.337,-10.185,0.0463,0.851,2.12e-05,0.126,0.471,133.27,5,0,4,jazz
4F0sSQCicLl5tme407ubvS,0.5,0.208,-14.235,0.0743,0.769,0.496,0.372,0.461,180.852,6,1,3,jazz
3bYBPyLGsa1unDrVaNzN4y,0.624,0.383,-10.561,0.0633,0.627,5.44e-06,0.0963,0.674,117.526,8,1,4,jazz
5TNpCThzzXHEipXGKgNG8T,0.655,0.31,-13.4,0.0866,0.573,0.0,0.119,0.665,121.999,0,1,4,jazz
0Rk9byjmZksAJX15onGns5,0.558,0.231,-11.436,0.0812,0.805,0.0,0.142,0.403,73.103,5,0,4,jazz
4bRNH9mxHDszZGskpBFhPq,0.425,0.0429,-24.86,0.0408,0.951,0.0184,0.148,0.255,96.097,1,1,4,jazz
5TGGsgsY7WS5Q1w8N581wD,0.631,0.197,-15.774,0.0489,0.886,0.000587,0.332,0.67,87.544,0,0,4,jazz
5doczA8CcUYo0J9H7uvHgU,0.749,0.152,-16.745,0.0493,0.655,0.000254,0.086,0.292,101.779,5,0,4,jazz
1GZD0TZJHmdQaZsucHBmWT,0.517,0.273,-17.279,0.0627,0.866,0.774,0.979,0.321,63.423,10,0,4,jazz
6YRVj7ZJyFrr6tso0QV15e,0.224,0.122,-16.766,0.036,0.985,0.0206,0.111,0.0952,82.277,2,1,4,jazz
2PGjqrXgOBqP8G4R6EKmpR,0.47,0.684,-7.873,0.0377,0.714,1.92e-05,0.0797,0.483,128.506,4,0,4,jazz
7hvZ6vMAnO0cDkkKKJok4Y,0.503,0.34,-9.034,0.0374,0.694,0.0,0.102,0.651,142.83,2,0,4,jazz
0sRAziWSeUedBSKjapsy9F,0.556,0.0352,-20.86,0.0419,0.942,0.167,0.082,0.196,110.646,7,0,4,jazz
2TPRvPvUotVn4tGHAWWcog,0.516,0.101,-12.753,0.0513,0.966,3.89e-05,0.0906,0.31,137.832,10,0,4,jazz
11vaRXRIFXJTRr3BuzNbk5,0.417,0.11,-16.504,0.0405,0.951,0.721,0.174,0.22,57.312,5,0,4,jazz
10El9hxviSBm7pChWxG1ib,0.529,0.0367,-21.63,0.0515,0.99,0.31,0.127,0.214,140.296,0,1,4,jazz
0sQ9ee2jJNTQgjy55Pse5H,0.546,0.305,-10.934,0.0494,0.789,0.352,0.125,0.664,164.902,3,1,3,jazz
6ffJxrVKkPVW4hiRoiteB2,0.652,0.171,-16.1,0.0569,0.99,0.864,0.158,0.562,118.883,7,1,4,jazz
4R6rf3KbP45JST6Cr3Enry,0.615,0.145,-14.283,0.0422,0.748,0.0,0.0292,0.505,102.633,7,1,4,jazz
1jvqZQtbBGK5GJCGT615ao,0.546,0.875,-3.631,0.0445,0.0205,0.0,0.0669,0.765,101.693,1,1,4,punk
16RLonBmK3BaWJnYRLUiyH,0.18,0.934,-8.699,0.115,3.32e-05,0.000551,0.0702,0.433,197.043,4,1,4,punk
7yCPwWs66K8Ba5lFuU2bcx,0.439,0.891,-4.764,0.057,0.0122,0.0,0.547,0.695,148.599,0,1,4,punk
2xKLHRbr0h2RLecEM0KSZa,0.44,0.843,-9.669,0.0478,0.00222,0.00275,0.109,0.751,102.6,1,1,4,punk
7uv4YSw9CLlC2BEjzd4AHg,0.45,0.937,-2.819,0.0504,0.000887,0.00457,0.379,0.791,101.922,5,0,4,punk
5kxxhOkxd7j57e7oL121gI,0.646,0.962,-4.862,0.0536,0.138,0.0,0.471,0.961,164.79,9,1,4,punk
2aYvAH5njyxFLi652SP4Ha,0.359,0.951,-5.293,0.0868,0.00763,0.0,0.046,0.468,186.31,8,1,4,punk
22klU94r0NFtx4cPO8KqHk,0.383,0.986,-2.796,0.0617,0.000287,0.0,0.179,0.578,157.871,9,1,4,punk
0pFcZpp5BNETYDExy12XZI,0.541,0.95,-4.538,0.0683,1.14e-05,0.0276,0.0876,0.852,139.955,5,1,4,punk
2WIzgosBB7yRZJrwuEVudv,0.308,0.988,-4.117,0.0798,6.92e-06,0.0808,0.251,0.474,189.082,8,1,4,punk
2tzcrRsyOGZWvatLc87TfN,0.321,0.966,-4.429,0.0753,4.83e-05,0.725,0.154,0.403,190.099,6,0,4,punk
1wxFEaCaBwWPHOA7ECPWJO,0.363,0.988,-4.107,0.093,6.55e-05,0.000315,0.111,0.478,150.048,2,1,4,punk
46iHILcYElTTSRIDljaC4J,0.391,0.993,-3.844,0.212,0.000627,0.0,0.358,0.152,94.768,0,1,4,punk
6kUtm8dyYD4tDnT7BEi4l4,0.375,0.985,-4.635,0.0908,0.000993,7.54e-05,0.117,0.69,158.159,7,1,4,punk
5fWV3Pu1G7IHRFQPWgBhFs,0.662,0.854,-4.017,0.0373,0.00889,0.000195,0.153,0.571,124.995,1,1,4,punk
4NDqAF9pxAKkLDwAhNQXdJ,0.185,0.9,-6.443,0.0637,7.82e-05,0.0,0.402,0.49,175.537,0,1,4,punk
4Ruj5rOxQpz49BlEmB8IVK,0.3,0.817,-7.05,0.0725,0.0141,0.0,0.148,0.591,179.735,4,1,4,punk
1ku4AWTvcRM3UBgsRrWgdd,0.427,0.987,-5.894,0.073,0.00418,0.00175,0.246,0.429,107.952,11,0,3,punk
7vOTUqAhG5BbwOEn8oqjkD,0.334,0.933,-6.004,0.0496,0.00019,0.0,0.0391,0.802,127.427,0,1,4,punk
4OW5UAmoHuCKfrsvM9dmRR,0.549,0.912,-6.667,0.0504,0.00288,0.00107,0.0898,0.803,93.701,1,1,4,punk
5JmCpu9KL02LMT1SVs112Z,0.448,0.933,-6.369,0.0481,0.000118,3.81e-05,0.332,0.628,75.442,0,0,4,punk
2WLH4kW5gS9G5nPtoo8qGg,0.424,0.948,-3.931,0.167,0.11,1.26e-05,0.127,0.426,163.969,9,1,4,punk
7B768jkBHMnFfXxKvp1nUt,0.201,0.964,-8.467,0.0911,0.000852,0.000244,0.242,0.236,172.081,9,1,4,punk
4d9LC9QoGja5M3en0HWUq1,0.391,0.968,-6.324,0.0625,0.0102,7.01e-05,0.446,0.647,90.481,0,1,4,punk
