,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time signature,genre
08bg5QA5OQ31h73avz0pXP,0.569,0.918,-2.509,0.0279,0.00241,2.98e-05,0.307,0.541,128.037,1,1,4,pop
2XcH79UYZbkQsOTkbkukRh,0.566,0.719,-9.096,0.0342,0.401,0.0353,0.154,0.456,154.073,11,1,4,pop
3Y26yO66jwXXxlzIO8i4OF,0.672,0.521,-7.885,0.165,0.000433,0.000439,0.633,0.377,169.98,7,1,4,pop
1l6gBfmaoPBcRhuZbslIpb,0.719,0.641,-7.47,0.087,0.218,9.33e-06,0.118,0.324,94.984,9,1,4,pop
6DWCcTqHTTMY7gJa3fD1q1,0.426,0.449,-6.549,0.0298,0.73,0.0,0.119,0.197,110.995,8,1,3,pop
0fioLzGM8ngbD1w6fMmm45,0.453,0.496,-5.785,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,5,1,4,pop
1om7j46fwbaXC1W1vwtvuu,0.729,0.424,-7.748,0.0322,0.629,2.55e-06,0.0769,0.845,110.016,9,1,4,pop
7uOMAEzuX23h8EwAbDuNbA,0.76,0.638,-7.629,0.0848,0.0384,0.0,0.172,0.413,95.026,0,1,4,pop
6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4,0,4,dance
1DpNRuo1JE5B0gDVtMwV7k,0.676,0.507,-7.063,0.235,0.618,0.0,0.113,0.533,109.87,10,1,4,pop
6c6WMifL0O4QXMTQOhbB9M,0.798,0.651,-7.032,0.323,0.148,0.0,0.873,0.61,140.015,6,1,4,pop
3Zh1sTJoyIQNsSsv4CcrwR,0.583,0.758,-6.773,0.189,0.00644,0.0,0.0705,0.251,87.085,4,0,4,pop
5LRjnwZXOlKzgrmwgYVGIz,0.958,0.626,-8.166,0.323,0.341,0.0,0.104,0.932,114.962,1,1,4,pop
0Z40vOLcrtOgRfs052WkiA,0.611,0.662,-7.54,0.0857,0.212,0.000145,0.392,0.399,138.072,2,1,4,pop
5Ohxk2dO5COHF1krpoPigN,0.516,0.595,-4.63,0.0313,0.0275,0.0,0.109,0.222,119.972,5,1,4,pop
